Nama Perusahaan,Termin,Pekerjaan,Fee,BULAN,WEEK,ESTIMASI CASH IN,PIC
PT Trakindo Utama,Final,SOP WIN IO Outstanding,"13,038,750",MARET,MINGGU 3,MEI,YULIANA
PT Industri Nuklir Indonesia,First,Audit 31 Des 2024,"13,000,000",MARET,MINGGU 2,APRIL,RANGGA
PT Insurindo Interservices,Second,Audit 31 Des 2024,"12,500,000",MARET,MINGGU 3,APRIL,GRESSY
PT Multimineral Trading,Second,Audit 31 Des 2024,"12,500,000",MARET,MINGGU 3,APRIL,GRESSY
PT Trakindo Utama,Final,Addendum banding Pajak 2016,"11,400,000",JUNI,MINGGU 2,JULI,ELIN
PT Java Star Rig,Final,Audit 31 Des 2024,"11,400,000",MEI,MINGGU 2,JUNI,TERRY
PT Atlantic Oilfield Services,Final,Audit 31 Des 2024,"11,400,000",MEI,MINGGU 2,JUNI,TERRY
PT Triswardana Utama,Final,pendampingan pemeriksaan all taxes periode tahun 2023,"11,000,000",JUNI,MINGGU 3,JULI,ELIN
PT Merah Putih Kreasi Nusa,Final,Audit 2022,"11,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Volac Feed Wilmar Ingredients Indonesia,Final,Audit 31 Des 2024,"11,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Trakindo Utama,Lumpsum,Injection PSAK 72 per Des 2024,"10,000,000",MARET,MINGGU 3,MEI,VERO
PT Trakindo Utama,Lumpsum,Injection PSAK 72 per Jan 2025,"10,000,000",MARET,MINGGU 3,MEI,VERO
PT Trakindo Utama,Lumpsum,Injection PSAK 72 per Feb 2025,"10,000,000",MARET,MINGGU 2,APRIL,VERO
PT Trakindo Utama,Lumpsum,Injection PSAK 72 per Mar 2025,"10,000,000",APRIL,MINGGU 4,JUNI,VERO
PT Trakindo Utama,Lumpsum,Injection PSAK 72 per Apr 2025,"10,000,000",MEI,MINGGU 4,JULI,VERO
PT Trakindo Utama,Lumpsum,Injection PSAK 72 per Mei 2025,"10,000,000",JUNI,MINGGU 4,AGUSTUS,VERO
PT Trakindo Utama,Lumpsum,Injection PSAK 72 per Jun 2025,"10,000,000",JULI,MINGGU 4,SEPTEMBER,VERO
PT Sawit Gemilang Abadi,Final,audit 31 des 2024,"10,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Anoa Sulawesi Regas,Final,Audit 31 Des 2024,"10,000,000",MEI,MINGGU 4,JUNI,KIKI
PT Seroja Jaya Agensi,Final,Audit 31 Des 2024,"10,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Garuda Nusantara Pacific,Final,Audit 31 Des 2024,"10,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Bhaskara Mitra Manunggal,Final,audit 31 des 2023,"10,000,000",MARET,MINGGU 3,APRIL,KIKI
Mandara Asia Limited,Final,Audit 31 Desember 2024,"9,900,000",APRIL,MINGGU 2,MEI,GRESSY
PT McMOL,Final,audit 31 des 2024,"9,000,000",MARET,MINGGU 3,APRIL,LINA
PT Merah Putih Kreasi Bangsa,Final,Audit 2022,"9,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT PLN IP Renewables,Final,Audit 31 des 2024,"9,000,000",MARET,MINGGU 3,APRIL,TERRY
PT Trakindo Utama,Third,SOP WIN IO Outstanding,"8,692,500",MARET,MINGGU 3,MEI,YULIANA
PT STI Indonesia,Final,audit 31 des 2024,"8,400,000",APRIL,MINGGU 2,MEI,GRESSY
PT Iot Kreasi,Final,audit 31 des 2023,"8,000,000",MARET,MINGGU 3,APRIL,TERRY
PT Jaya Manis Indonesia,Final,Audit 31 Des 2024,"8,000,000",MARET,MINGGU 3,APRIL,GRESSY
Koperasi Banua Raya,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Kopbun Paras Daya,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Berkat Majujaya Bersama,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Maju Jaya Terawan,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Perkebunan Tuah Raya Santang Baronas,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Produsen Tagani Makmur,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Sumber Sejahtera,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Unggul Jaya Sejahtera,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Perkebunan Masyarakat Adat Suku Sarakwari dan Koroba Kampung Sima,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Perkebunan Masyarakat Adat Suku Waoha Kampung Sima,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
